1×1=1,いちかけるいちはいち,いちかけるいちは,いち,いんいちがいち,いんいちが,いち
3×6=18,さんかけるろくはじゅうはち,さんかけるろくは,じゅうはち,さぶろくじゅうはち,さぶろく,じゅうはち
3×7=21,さんかけるななはにじゅういち,さんかけるななは,にじゅういち,さんしちにじゅういち,さんしち,にじゅういち
3×8=24,さんかけるはちはにじゅうよん,さんかけるはちは,にじゅうよん,さんぱにじゅうし,さんぱ,にじゅうし
3×9=27,さんかけるきゅうはにじゅうなな,さんかけるきゅうは,にじゅうなな,さんくにじゅうしち,さんく,にじゅうしち
4×1=4,よんかけるいちはよん,よんかけるいちは,よん,しいちがし,しいちが,し
4×2=8,よんかけるにははち,よんかけるには,はち,しにがはち,しにが,はち
4×3=12,よんかけるさんはじゅうに,よんかけるさんは,じゅうに,しさんじゅうに,しさん,じゅうに
4×4=16,よんかけるよんはじゅうろく,よんかけるよんは,じゅうろく,ししじゅうろく,しし,じゅうろく
4×5=20,よんかけるごはにじゅう,よんかけるごは,にじゅう,しごにじゅう,しご,にじゅう
4×6=24,よんかけるろくはにじゅうよん,よんかけるろくは,にじゅうよん,しろくにじゅうし,しろく,にじゅうし
4×7=28,よんかけるななはにじゅうはち,よんかけるななは,にじゅうはち,ししちにじゅうはち,ししち,にじゅうはち
4×8=32,よんかけるはちはさんじゅうに,よんかけるはちは,さんじゅうに,しはさんじゅうに,しは,さんじゅうに
4×9=36,よんかけるきゅうはさんじゅうろく,よんかけるきゅうは,さんじゅうろく,しくさんじゅうろく,しく,さんじゅうろく
5×1=5,ごかけるいちはご,ごかけるいちは,ご,ごいちがご,ごいちが,ご
5×2=10,ごかけるにはじゅう,ごかけるには,じゅう,ごにじゅう,ごに,じゅう
5×3=15,ごかけるさんはじゅうご,ごかけるさんは,じゅうご,ごさんじゅうご,ごさん,じゅうご
5×4=20,ごかけるよんはにじゅう,ごかけるよんは,にじゅう,ごしにじゅう,ごし,にじゅう
5×5=25,ごかけるごはにじゅうご,ごかけるごは,にじゅうご,ごごにじゅうご,ごご,にじゅうご
5×6=30,ごかけるろくはさんじゅう,ごかけるろくは,さんじゅう,ごろくさんじゅう,ごろく,さんじゅう
5×7=35,ごかけるななはさんじゅうご,ごかけるななは,さんじゅうご,ごしちさんじゅうご,ごしち,さんじゅうご
5×8=40,ごかけるはちはよんじゅう,ごかけるはちは,よんじゅう,ごはしじゅう,ごは,しじゅう
5×9=45,ごかけるきゅうはよんじゅうご,ごかけるきゅうは,よんじゅうご,ごっくしじゅうご,ごっく,しじゅうご
6×1=6,ろくかけるいちはろく,ろくかけるいちは,ろく,ろくいちがろく,ろくいちが,ろく
6×2=12,ろくかけるにはじゅうに,ろくかけるには,じゅうに,ろくにじゅうに,ろくに,じゅうに
6×3=18,ろくかけるさんはじゅうはち,ろくかけるさんは,じゅうはち,ろくさんじゅうはち,ろくさん,じゅうはち
6×4=24,ろくかけるよんはにじゅうよん,ろくかけるよんは,にじゅうよん,ろくしにじゅうし,ろくし,にじゅうし
6×5=30,ろくかけるごはさんじゅう,ろくかけるごは,さんじゅう,ろくごさんじゅう,ろくご,さんじゅう
6×6=36,ろくかけるろくはさんじゅうろく,ろくかけるろくは,さんじゅうろく,ろくろくさんじゅうろく,ろくろく,さんじゅうろく
6×7=42,ろくかけるななはよんじゅうに,ろくかけるななは,よんじゅうに,ろくしちしじゅうに,ろくしち,しじゅうに
6×8=48,ろくかけるはちはよんじゅうはち,ろくかけるはちは,よんじゅうはち,ろくはしじゅうはち,ろくは,しじゅうはち
6×9=54,ろくかけるきゅうはごじゅうよん,ろくかけるきゅうは,ごじゅうよん,ろっくごじゅうし,ろっく,ごじゅうし
7×1=7,ななかけるいちはなな,ななかけるいちは,なな,しちいちがしち,しちいちが,しち
7×2=14,ななかけるにはじゅうよん,ななかけるには,じゅうよん,しちにじゅうし,しちに,じゅうし
7×3=21,ななかけるさんはにじゅういち,ななかけるさんは,にじゅういち,しちさんにじゅういち,しちさん,にじゅういち
7×4=28,ななかけるよんはにじゅうはち,ななかけるよんは,にじゅうはち,しちしにじゅうはち,しちし,にじゅうはち
7×5=35,ななかけるごはさんじゅうご,ななかけるごは,さんじゅうご,しちごさんじゅうご,しちご,さんじゅうご
7×6=42,ななかけるろくはよんじゅうに,ななかけるろくは,よんじゅうに,しちろくしじゅうに,しちろく,しじゅうに
7×7=49,ななかけるななはよんじゅうきゅう,ななかけるななは,よんじゅうきゅう,しちしちしじゅうく,しちしち,しじゅうく
7×8=56,ななかけるはちはごじゅうろく,ななかけるはちは,ごじゅうろく,しちはごじゅうろく,しちは,ごじゅうろく
7×9=63,ななかけるきゅうはろくじゅうさん,ななかけるきゅうは,ろくじゅうさん,しちくろくじゅうさん,しちく,ろくじゅうさん
8×1=8,はちかけるいちははち,はちかけるいちは,はち,はちいちがはち,はちいちが,はち
8×2=16,はちかけるにはじゅうろく,はちかけるには,じゅうろく,はちにじゅうろく,はちに,じゅうろく
8×3=24,はちかけるさんはにじゅうよん,はちかけるさんは,にじゅうよん,はちさんにじゅうし,はちさん,にじゅうし
8×4=32,はちかけるよんはさんじゅうに,はちかけるよんは,さんじゅうに,はちしさんじゅうに,はちし,さんじゅうに
8×5=40,はちかけるごはよんじゅう,はちかけるごは,よんじゅう,はちごしじゅう,はちご,しじゅう
8×6=48,はちかけるろくはよんじゅうはち,はちかけるろくは,よんじゅうはち,はちろくしじゅうはち,はちろく,しじゅうはち
8×7=56,はちかけるななはごじゅうろく,はちかけるななは,ごじゅうろく,はちしちごじゅうろく,はちしち,ごじゅうろく
8×8=64,はちかけるはちはろくじゅうよん,はちかけるはちは,ろくじゅうよん,はっぱろくじゅうし,はっぱ,ろくじゅうし
8×9=72,はちかけるきゅうはななじゅうに,はちかけるきゅうは,ななじゅうに,はっくしちじゅうに,はっく,しちじゅうに
9×1=9,きゅうかけるいちはきゅう,きゅうかけるいちは,きゅう,くいちがく,くいちが,く
9×2=18,きゅうかけるにはじゅうはち,きゅうかけるには,じゅうはち,くにじゅうはち,くに,じゅうはち
9×3=27,きゅうかけるさんはにじゅうなな,きゅうかけるさんは,にじゅうなな,くさんにじゅうしち,くさん,にじゅうしち
9×4=36,きゅうかけるよんはさんじゅうろく,きゅうかけるよんは,さんじゅうろく,くしさんじゅうろく,くし,さんじゅうろく
9×5=45,きゅうかけるごはよんじゅうご,きゅうかけるごは,よんじゅうご,くごしじゅうご,くご,しじゅうご
9×6=54,きゅうかけるろくはごじゅうよん,きゅうかけるろくは,ごじゅうよん,くろくごじゅうし,くろく,ごじゅうし
9×7=63,きゅうかけるななはろくじゅうさん,きゅうかけるななは,ろくじゅうさん,くしちろくじゅうさん,くしち,ろくじゅうさん
9×8=72,きゅうかけるはちはななじゅうに,きゅうかけるはちは,ななじゅうに,くはしちじゅうに,くは,しちじゅうに
9×9=81,きゅうかけるきゅうははちじゅういち,きゅうかけるきゅうは,はちじゅういち,くくはちじゅういち,くく,はちじゅういち
